id,inference_provider,model_provider,human_readable_name,model_provider_country,official_url,input_modalities,output_modalities,rate_limits,provider_api_access,created_at,updated_at,license_info_text,license_info_url,license_name,license_url
,Google,Google,Embedding Gecko 001,United States,https://ai.google.dev/gemini-api/docs/embeddings,Text,Text Embeddings,"100 requests/min, 30K tokens/min, 1,000 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.607769+00:00,2025-09-12T23:02:22.607808+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Pro Latest,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.608799+00:00,2025-09-12T23:02:22.608831+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Pro 002,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.609511+00:00,2025-09-12T23:02:22.609535+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Pro,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.610131+00:00,2025-09-12T23:02:22.610149+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Flash Latest,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.610779+00:00,2025-09-12T23:02:22.610800+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Flash,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.611416+00:00,2025-09-12T23:02:22.611435+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Flash 002,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.611992+00:00,2025-09-12T23:02:22.612006+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Flash 8B,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.612760+00:00,2025-09-12T23:02:22.612785+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Flash 8B 001,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.613522+00:00,2025-09-12T23:02:22.613548+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Flash 8B Latest,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.614160+00:00,2025-09-12T23:02:22.614180+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 2.5 Flash,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"10 requests/min, 250K tokens/min, 250 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.614846+00:00,2025-09-12T23:02:22.614867+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
